Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2020-01-02,67.83250427246094,67.83250427246094,66.73275901654908,66.82791589956109,27278000
2020-01-03,67.47765350341797,68.08378239307208,66.77389484039315,66.80760017733454,23408000
2020-01-06,69.27621459960938,69.3014879316115,66.95628606830468,66.98750339759994,46768000
2020-01-07,69.14238739013672,69.5582024487993,68.96644963729894,69.40753802370638,34330000
2020-01-08,69.63453674316406,69.97204388362319,69.01949180178964,69.12802647532469,35314000
2020-01-09,70.36555480957031,70.80614415984961,69.89076100637546,70.47160903192002,33200000
2020-01-10,70.82003021240234,71.11640582320393,70.35614880232912,70.84531111023372,26258000
2020-01-13,71.36865997314453,71.44051730380278,70.64210083819175,71.1317546271615,30730000
2020-01-14,70.90081024169922,71.49751649539529,70.76104311691866,71.36717204334909,26076000
2020-01-15,71.32752227783203,71.40583028391339,70.95383692655207,71.02124004178174,21550000
2020-01-16,71.87071228027344,71.89747539401914,71.3671740127522,71.63727803469492,26080000
2020-01-17,73.32579803466797,73.37684381090587,72.18739403885324,72.48426114877846,52424000
2020-01-21,73.46110534667969,73.83925246721381,72.86439154992613,73.30002755955512,48930000
2020-01-22,73.54138946533203,74.36954862534002,73.48142768998797,73.831821043348,28458000
2020-01-23,73.58202362060547,74.0186578379967,73.36544584943454,73.72377206652983,26650000
2020-01-24,72.66416931152344,74.05334797496889,72.51597775102503,73.98495419699645,29786000
2020-01-27,70.95731353759766,71.19768245755475,70.35118456784836,70.94789842652807,34132000
2020-01-28,71.88755798339844,72.10066465532061,70.88940505128319,71.45340418513541,29724000
2020-01-29,72.19483184814453,72.56356386926777,71.63430381972567,72.2820558505161,21566000
2020-01-30,72.07340240478516,72.12295839747925,71.11936068796703,71.2729971212912,27110000
2020-01-31,71.00934600830078,72.83763191582841,70.72585665176216,72.74792746502517,43822000
2020-02-03,73.47845458984375,73.66183373200143,72.19037662681714,72.4401606618482,71636000
2020-02-04,71.63530731201172,72.72216667262731,70.47658304390983,72.08531941869244,95880000
2020-02-05,71.66700744628906,72.58536256030895,70.85570477873623,72.53728878225081,36376000
2020-02-06,73.14987182617188,73.42691809405072,71.88657563140107,71.96091341803267,37822000
2020-02-07,73.30548095703125,73.60978185657574,72.6265040449633,72.72463293664772,28360000
2020-02-10,74.7699966430664,74.78090153391359,73.11170456287006,73.21231390255865,38302000
2020-02-11,74.83938598632812,75.82168077098233,74.61091262722508,74.99847489323436,34852000
