Date,Close,High,Low,Open,Volume,Price_Change,High_Low_Spread,Daily_Return,SMA_20,SMA_50
2020-01-02,94.90049743652344,94.90049743652344,93.2074966430664,93.75,80580000,1.1504974365234375,1.6930007934570312,,,
2020-01-03,93.74849700927734,94.30999755859376,93.2249984741211,93.2249984741211,75288000,0.52349853515625,1.0849990844726705,-0.012139034655920922,,
2020-01-06,95.1439971923828,95.18450164794922,93.0,93.0,81236000,2.1439971923827983,2.1845016479492188,0.01488557393050649,,
2020-01-07,95.34300231933594,95.69450378417967,94.60199737548828,95.2249984741211,80898000,0.11800384521484375,1.092506408691392,0.0020916204156395946,,
2020-01-08,94.59850311279295,95.5500030517578,94.3219985961914,94.9020004272461,70160000,-0.3034973144531392,1.228004455566392,-0.007808640261289468,,
2020-01-09,95.05249786376952,95.89099884033205,94.79000091552734,95.49449920654295,63346000,-0.4420013427734375,1.1009979248047017,0.0047991747864684076,,
2020-01-10,94.15799713134766,95.34700012207033,94.0,95.26850128173828,57074000,-1.110504150390625,1.3470001220703267,-0.009410596802031157,,
2020-01-13,94.56500244140624,94.9000015258789,94.04000091552734,94.56549835205078,55616000,-0.0004959106445454609,0.8600006103515625,0.00432257824569926,,
2020-01-14,93.47200012207033,94.35549926757812,92.92749786376952,94.29399871826172,68818000,-0.821998596191392,1.428001403808608,-0.01155821171805238,,
2020-01-15,93.10099792480467,93.94300079345705,92.75450134277344,93.6125030517578,57932000,-0.511505126953125,1.188499450683608,-0.003969126548925228,,
2020-01-16,93.89700317382812,94.27950286865234,93.3010025024414,94.14949798583984,53190000,-0.25249481201171875,0.9785003662109375,0.00854991102959346,,
2020-01-17,93.23600006103516,94.33200073242188,92.8625030517578,94.29450225830078,79946000,-1.058502197265625,1.4694976806640767,-0.00703966144232826,,
2020-01-21,94.5999984741211,94.7135009765625,93.0,93.25,74156000,1.3499984741210938,1.7135009765625,0.014629525206926841,,
2020-01-22,94.3730010986328,95.125,94.16699981689452,94.80449676513672,64326000,-0.43149566650392046,0.958000183105483,-0.0023995494624705627,,
2020-01-23,94.22899627685548,94.4990005493164,93.63800048828124,94.25550079345705,49692000,-0.0265045166015625,0.8610000610351705,-0.0015259112256779117,,
2020-01-24,93.08200073242188,94.74949645996094,92.37200164794922,94.56849670410156,75324000,-1.4864959716796875,2.3774948120117188,-0.012172426638861866,,
2020-01-27,91.41699981689452,92.0500030517578,90.76699829101562,91.0,70570000,0.41699981689451704,1.2830047607421733,-0.01788746376771222,,
2020-01-28,92.6624984741211,92.90550231933594,91.5009994506836,92.0250015258789,56160000,0.6374969482421875,1.4045028686523438,0.01362436592451366,,
2020-01-29,92.9000015258789,93.7375030517578,92.7509994506836,93.1999969482422,41760000,-0.29999542236329546,0.9865036010742045,0.0025630978623367717,,
2020-01-30,93.53399658203124,93.64350128173828,92.53050231933594,92.9000015258789,126548000,0.6339950561523295,1.1129989624023438,0.006824489189870775,93.90067443847656,
2020-01-31,100.43599700927734,102.78600311279295,100.1135025024414,102.57350158691406,311346000,-2.1375045776367188,2.6725006103515483,0.07379135586484753,94.17744941711426,
2020-02-03,100.20999908447266,102.4250030517578,100.0124969482422,100.52999877929688,117834000,-0.31999969482421875,2.4125061035155966,-0.0022501685803328897,94.50052452087402,
