Date,Close,High,Low,Open,Volume,Price_Change,High_Low_Spread,Daily_Return,SMA_20,SMA_50
2020-01-02,75.0875015258789,75.1500015258789,73.79750061035156,74.05999755859375,135480400,1.0275039672851562,1.3525009155273438,,,
2020-01-03,74.35749816894531,75.1449966430664,74.125,74.2874984741211,146322800,0.06999969482421875,1.0199966430664062,-0.00972203551987938,,
2020-01-06,74.94999694824219,74.98999786376953,73.1875,73.44750213623047,118387200,1.5024948120117188,1.8024978637695312,0.007968245219206693,,
2020-01-07,74.59750366210938,75.2249984741211,74.37000274658203,74.95999908447266,108872000,-0.36249542236328125,0.8549957275390625,-0.0047030460371630944,,
2020-01-08,75.79750061035156,76.11000061035156,74.29000091552734,74.29000091552734,132079200,1.5074996948242188,1.8199996948242188,0.016086288271489613,,
2020-01-09,77.40750122070312,77.60749816894531,76.55000305175781,76.80999755859375,170108400,0.597503662109375,1.0574951171875,0.021240813976545425,,
2020-01-10,77.5824966430664,78.1675033569336,77.0625,77.6500015258789,140644800,-0.0675048828125,1.1050033569335938,0.0022607036734636488,,
2020-01-13,79.23999786376953,79.26750183105469,77.7874984741211,77.91000366210938,121532000,1.3299942016601562,1.4800033569335938,0.02136437073337283,,
2020-01-14,78.16999816894531,79.39250183105469,78.0425033569336,79.17500305175781,161954400,-1.0050048828125,1.3499984741210938,-0.013503277683875936,,
2020-01-15,77.83499908447266,78.875,77.38749694824219,77.9625015258789,121923600,-0.12750244140625,1.4875030517578125,-0.004285519922216707,,
2020-01-16,78.80999755859375,78.92500305175781,78.02249908447266,78.39749908447266,108829200,0.41249847412109375,0.9025039672851562,0.012526478905240834,,
2020-01-17,79.68250274658203,79.68499755859375,78.75,79.06749725341797,137816400,0.6150054931640625,0.93499755859375,0.011070996257037002,,
2020-01-21,79.14250183105469,79.75499725341797,79.0,79.29750061035156,110843200,-0.154998779296875,0.7549972534179688,-0.006776907061324833,,
2020-01-22,79.42500305175781,79.99749755859375,79.32749938964844,79.6449966430664,101832400,-0.21999359130859375,0.6699981689453125,0.003569526034268966,,
2020-01-23,79.80750274658203,79.88999938964844,78.9124984741211,79.4800033569336,104472000,0.3274993896484375,0.9775009155273438,0.004815859995308536,,
2020-01-24,79.57749938964844,80.8324966430664,79.37999725341797,80.0625,146537600,-0.4850006103515625,1.4524993896484375,-0.002881976618964499,,
2020-01-27,77.23750305175781,77.94249725341797,76.22000122070312,77.51499938964844,161940000,-0.277496337890625,1.7224960327148438,-0.029405250929448234,,
2020-01-28,79.42250061035156,79.5999984741211,78.04750061035156,78.1500015258789,162234000,1.2724990844726562,1.5524978637695312,0.02828933448469395,,
2020-01-29,81.08499908447266,81.9625015258789,80.34500122070312,81.11250305175781,216229200,-0.02750396728515625,1.6175003051757812,0.020932336067801982,,
2020-01-30,80.96749877929688,81.02249908447266,79.6875,80.13500213623047,126743200,0.8324966430664062,1.3349990844726562,-0.0014491004070108504,78.00912513732911,
