Date,Close,High,Low,Open,Volume,Price_Change,High_Low_Spread,Daily_Return,SMA_20,SMA_50
2020-01-02,5.99774980545044,5.99774980545044,5.918000221252441,5.96875,237536000,0.02899980545044034,0.07974958419799894,,,
2020-01-03,5.901750087738037,5.945750236511231,5.852499961853027,5.877500057220459,205384000,0.024250030517578125,0.09325027465820401,-0.016005955704448294,,
2020-01-06,5.926499843597412,5.9317498207092285,5.781750202178955,5.808000087738037,262636000,0.118499755859375,0.14999961853027344,0.004193629938820553,,
2020-01-07,5.9982500076293945,6.044250011444092,5.909749984741211,5.954999923706055,314856000,0.043250083923339844,0.13450002670288086,0.012106667666497373,,
2020-01-08,6.009500026702881,6.051000118255615,5.953750133514404,5.99399995803833,277108000,0.015500068664550781,0.09724998474121094,0.0018755502120080259,,
2020-01-09,6.075500011444092,6.148250102996826,6.021500110626221,6.096250057220459,255112000,-0.020750045776367188,0.12674999237060547,0.010982608278216732,,
2020-01-10,6.107999801635742,6.213749885559082,6.09375,6.183249950408936,316296000,-0.07525014877319425,0.11999988555908203,0.005349319419049037,,
2020-01-13,6.299499988555908,6.324749946594238,6.168749809265137,6.191500186920166,319840000,0.10799980163574219,0.15600013732910156,0.031352356440627505,,
2020-01-14,6.182000160217285,6.2820000648498535,6.168749809265137,6.256499767303467,359088000,-0.07449960708618164,0.1132502555847168,-0.018652246773883774,,
2020-01-15,6.139249801635742,6.217249870300293,6.113249778747559,6.19474983215332,263104000,-0.055500030517578125,0.10400009155273438,-0.006915295612033856,,
2020-01-16,6.223249912261963,6.229249954223633,6.16949987411499,6.192999839782715,284192000,0.030250072479248047,0.05975008010864258,0.01368247152996438,,
2020-01-17,6.23199987411499,6.25,6.184249877929688,6.242499828338623,253792000,-0.010499954223632812,0.06575012207031161,0.00140601164606724,,
2020-01-21,6.198500156402588,6.232250213623047,6.164249897003174,6.195250034332275,217916000,0.0032501220703125,0.06800031661987305,-0.005375436198506001,,
2020-01-22,6.252749919891357,6.339749813079834,6.224999904632568,6.24399995803833,239240000,0.008749961853027344,0.11474990844726562,0.008752079070730279,,
2020-01-23,6.321499824523926,6.329999923706055,6.203750133514404,6.293000221252441,244516000,0.028499603271484375,0.1262497901916504,0.0109951470174523,,
2020-01-24,6.26200008392334,6.487500190734863,6.207499980926514,6.4375,373512000,-0.17549991607666016,0.2800002098083496,-0.009412282251398563,,
